epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1191.11,1.30838,1.08954,1.81374,0.88711,0.88214,0.92435,0.45804,1.51841,1.00246,1.99404,0.004936,0.004936,0.004936
56,1212.81,1.30996,1.08571,1.81965,0.8791,0.9,0.92525,0.44369,1.52409,0.99959,2.00709,0.00479604,0.00479604,0.00479604
57,1234.55,1.30662,1.07124,1.81298,0.91099,0.91377,0.93307,0.43545,1.55716,1.00531,2.06392,0.00465678,0.00465678,0.00465678
58,1256.09,1.30043,1.06134,1.80018,0.87471,0.89763,0.92275,0.43165,1.61013,0.98353,2.1083,0.00451836,0.00451836,0.00451836
59,1277.95,1.28892,1.05631,1.7939,0.89393,0.9,0.92969,0.46578,1.48247,0.9359,1.9653,0.0043809,0.0043809,0.0043809
60,1299.67,1.28901,1.04976,1.78935,0.88695,0.90714,0.94245,0.46887,1.51754,0.93047,2.01195,0.00424454,0.00424454,0.00424454
61,1321.39,1.28668,1.04146,1.78858,0.89872,0.88738,0.93567,0.46486,1.48997,0.94486,1.9826,0.00410942,0.00410942,0.00410942
62,1343.26,1.28173,1.04793,1.79149,0.89847,0.88498,0.93369,0.52711,1.3922,0.92208,1.87324,0.00397568,0.00397568,0.00397568
63,1365.06,1.26098,1.03175,1.76373,0.90566,0.8914,0.93644,0.52661,1.37337,0.91013,1.86746,0.00384344,0.00384344,0.00384344
64,1386.66,1.25919,1.0281,1.76199,0.89368,0.9006,0.92477,0.48699,1.46113,0.92158,1.94916,0.00371283,0.00371283,0.00371283
65,1408.55,1.24663,1.01746,1.75322,0.90429,0.87738,0.91852,0.49287,1.44229,0.93306,1.93713,0.00358399,0.00358399,0.00358399
66,1430.37,1.23325,1.00247,1.73798,0.92383,0.88571,0.92808,0.51349,1.41855,0.90978,1.92097,0.00345704,0.00345704,0.00345704
67,1452.1,1.24253,0.99821,1.74982,0.92789,0.9,0.94007,0.50863,1.43495,0.89934,1.93696,0.00333211,0.00333211,0.00333211
68,1473.79,1.23336,0.99006,1.73378,0.89459,0.87896,0.93201,0.49715,1.47291,0.9011,1.97933,0.00320931,0.00320931,0.00320931
69,1495.46,1.23109,0.97012,1.736,0.92333,0.88929,0.92784,0.51548,1.4151,0.87375,1.92088,0.00308878,0.00308878,0.00308878
70,1517.1,1.21398,0.96304,1.72228,0.90944,0.91071,0.9322,0.47763,1.51497,0.88198,2.03074,0.00297062,0.00297062,0.00297062
71,1538.74,1.23004,0.9538,1.72957,0.90786,0.87978,0.92713,0.51048,1.43018,0.86817,1.94257,0.00285497,0.00285497,0.00285497
72,1560.49,1.21697,0.95733,1.7202,0.91869,0.91071,0.93221,0.49618,1.46377,0.89123,1.95808,0.00274192,0.00274192,0.00274192
73,1582.26,1.2146,0.93025,1.7238,0.90418,0.87857,0.93652,0.50803,1.45361,0.86685,1.9578,0.00263159,0.00263159,0.00263159
74,1603.91,1.20338,0.92888,1.71834,0.91873,0.88824,0.93788,0.50988,1.46604,0.88541,1.97401,0.0025241,0.0025241,0.0025241
75,1625.65,1.20751,0.9085,1.71446,0.8971,0.9,0.93943,0.48414,1.52731,0.88128,2.06436,0.00241954,0.00241954,0.00241954
76,1647.33,1.20289,0.91239,1.71136,0.90432,0.88929,0.93231,0.50159,1.45728,0.89024,1.96967,0.00231802,0.00231802,0.00231802
77,1668.89,1.19461,0.89772,1.70017,0.90586,0.86429,0.92722,0.49888,1.48468,0.87721,2.02037,0.00221964,0.00221964,0.00221964
78,1690.65,1.19373,0.87037,1.70062,0.90512,0.87857,0.92695,0.47918,1.52136,0.87309,2.06533,0.0021245,0.0021245,0.0021245
79,1712.49,1.18604,0.86113,1.69242,0.91438,0.90357,0.93502,0.47909,1.54315,0.86448,2.078,0.00203269,0.00203269,0.00203269
80,1734.28,1.18393,0.8495,1.69906,0.91567,0.91071,0.94674,0.46954,1.58927,0.86015,2.14276,0.0019443,0.0019443,0.0019443
81,1756.01,1.17702,0.8367,1.68482,0.88372,0.89569,0.92829,0.49916,1.48589,0.85915,2.00463,0.00185942,0.00185942,0.00185942
82,1777.63,1.17594,0.83325,1.68681,0.90845,0.88601,0.93295,0.50243,1.4864,0.87196,2.02107,0.00177814,0.00177814,0.00177814
