epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,321.304,1.33455,1.00914,1.8161,0.78523,0.58974,0.60858,0.23885,2.10491,1.49243,2.71244,0.00308878,0.00308878,0.00308878
70,326.486,1.28397,0.93265,1.80129,0.74494,0.60684,0.61592,0.25924,2.02765,1.43364,2.63403,0.00297062,0.00297062,0.00297062
71,330.772,1.30318,0.97783,1.78576,0.74097,0.58974,0.61573,0.23284,2.26754,1.4628,2.87184,0.00285497,0.00285497,0.00285497
72,334.994,1.26717,0.95818,1.76552,0.8181,0.61504,0.65877,0.28117,2.04438,1.37624,2.63064,0.00274192,0.00274192,0.00274192
73,340.434,1.26426,0.94817,1.75797,0.77026,0.60179,0.63988,0.24556,2.19976,1.42855,2.7979,0.00263159,0.00263159,0.00263159
74,344.631,1.26473,0.9422,1.74666,0.78223,0.58974,0.63317,0.27246,2.10227,1.39962,2.6858,0.0025241,0.0025241,0.0025241
75,348.913,1.25857,0.90542,1.78577,0.7502,0.5641,0.63427,0.26852,2.12799,1.39009,2.72625,0.00241954,0.00241954,0.00241954
76,354.194,1.26535,0.92992,1.75504,0.77231,0.57984,0.61637,0.24689,2.17601,1.3876,2.7989,0.00231802,0.00231802,0.00231802
77,358.437,1.25282,0.88708,1.7415,0.75698,0.61236,0.64596,0.26353,2.08678,1.32713,2.71288,0.00221964,0.00221964,0.00221964
78,362.574,1.27532,0.91516,1.78105,0.78879,0.57265,0.63613,0.26425,2.13617,1.32119,2.7834,0.0021245,0.0021245,0.0021245
79,367.833,1.2369,0.89013,1.74233,0.79248,0.58752,0.63786,0.26376,2.16073,1.29091,2.80569,0.00203269,0.00203269,0.00203269
80,372.014,1.24726,0.89134,1.74594,0.80399,0.58974,0.62606,0.27282,2.10739,1.29723,2.71963,0.0019443,0.0019443,0.0019443
81,376.131,1.23056,0.89288,1.71736,0.816,0.59829,0.64521,0.28227,2.09328,1.3215,2.69154,0.00185942,0.00185942,0.00185942
82,381.35,1.23069,0.87797,1.71004,0.80028,0.5812,0.65431,0.27623,2.15749,1.36318,2.78237,0.00177814,0.00177814,0.00177814
83,385.432,1.22307,0.86909,1.75118,0.82084,0.54701,0.64431,0.28481,2.11169,1.30267,2.76635,0.00170052,0.00170052,0.00170052
84,389.641,1.19739,0.85946,1.70139,0.73207,0.63056,0.6412,0.29458,2.01182,1.27673,2.65761,0.00162666,0.00162666,0.00162666
85,394.921,1.19693,0.87092,1.71272,0.7792,0.60684,0.64533,0.29826,2.01396,1.25476,2.64745,0.00155662,0.00155662,0.00155662
86,399.09,1.2089,0.88013,1.71487,0.79717,0.60467,0.68533,0.29705,2.0454,1.28018,2.63427,0.00149047,0.00149047,0.00149047
87,403.586,1.2017,0.85501,1.71468,0.80542,0.59829,0.67656,0.30104,1.98571,1.27774,2.55936,0.00142828,0.00142828,0.00142828
88,408.646,1.16282,0.83458,1.67777,0.78488,0.58974,0.66887,0.29514,2.05179,1.34395,2.65121,0.0013701,0.0013701,0.0013701
89,412.915,1.18692,0.84461,1.67689,0.77085,0.60382,0.64262,0.28917,2.04609,1.30927,2.69217,0.00131601,0.00131601,0.00131601
90,417.977,1.16666,0.81938,1.67527,0.80272,0.62393,0.64048,0.29104,2.00407,1.32581,2.66118,0.00126604,0.00126604,0.00126604
91,424.152,1.2468,0.81793,1.73535,0.80227,0.60684,0.65179,0.28747,2.0806,1.32203,2.74115,0.00122025,0.00122025,0.00122025
92,428.498,1.22566,0.82748,1.73164,0.79875,0.5812,0.64707,0.27093,2.10752,1.31307,2.73158,0.00117868,0.00117868,0.00117868
93,433.93,1.23564,0.85253,1.70332,0.77431,0.57265,0.6386,0.26982,2.07388,1.30719,2.69182,0.00114138,0.00114138,0.00114138
94,438.212,1.23908,0.86671,1.73894,0.71137,0.59829,0.6114,0.27321,1.969,1.33545,2.56571,0.00110837,0.00110837,0.00110837
95,442.577,1.2096,0.84306,1.70087,0.76307,0.59829,0.61815,0.26788,2.0143,1.31656,2.6388,0.00107971,0.00107971,0.00107971
96,447.677,1.19697,0.86514,1.681,0.74769,0.59829,0.63598,0.26016,2.10961,1.34017,2.75677,0.0010554,0.0010554,0.0010554
97,451.889,1.19581,0.82473,1.68296,0.78852,0.57364,0.63611,0.2597,2.18109,1.3343,2.83567,0.00103548,0.00103548,0.00103548
98,456.684,1.17578,0.86374,1.65217,0.69266,0.59829,0.60527,0.28764,1.97713,1.31528,2.57684,0.00101997,0.00101997,0.00101997
99,461.406,1.18927,0.82679,1.69908,0.69848,0.59401,0.614,0.2961,1.92892,1.2858,2.52267,0.00100888,0.00100888,0.00100888
100,465.615,1.18924,0.82409,1.65999,0.8153,0.52822,0.61716,0.297,1.99205,1.2663,2.59847,0.00100222,0.00100222,0.00100222
