epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,12123.9,0.93878,1.1424,1.32834,0.77082,0.76992,0.81513,0.66334,0.70912,0.70157,1.11074,0.00397568,0.00397568,0.00397568
63,12314.8,0.93543,1.13846,1.32519,0.7678,0.77156,0.8153,0.66371,0.70878,0.70199,1.11023,0.00384344,0.00384344,0.00384344
64,12505.8,0.9305,1.13364,1.32244,0.76347,0.77677,0.81526,0.66395,0.70823,0.70162,1.10975,0.00371283,0.00371283,0.00371283
65,12700.3,0.93189,1.13311,1.32451,0.76424,0.7748,0.81526,0.66485,0.70827,0.70211,1.10965,0.00358399,0.00358399,0.00358399
66,12897.1,0.92537,1.12683,1.31925,0.76736,0.77236,0.81497,0.66536,0.70802,0.70206,1.10947,0.00345704,0.00345704,0.00345704
67,13091.4,0.92586,1.12433,1.31871,0.76524,0.77561,0.81559,0.66558,0.70779,0.7029,1.10936,0.00333211,0.00333211,0.00333211
68,13285.2,0.92387,1.12296,1.32037,0.76355,0.77449,0.8154,0.66549,0.70719,0.70241,1.10889,0.00320931,0.00320931,0.00320931
69,13477.4,0.9188,1.1174,1.31443,0.76266,0.77154,0.81491,0.66548,0.7069,0.70162,1.1088,0.00308878,0.00308878,0.00308878
70,13668.4,0.91837,1.11516,1.31301,0.75919,0.77724,0.81597,0.66572,0.70679,0.70046,1.10872,0.00297062,0.00297062,0.00297062
71,13858.5,0.9179,1.11319,1.3134,0.75158,0.78709,0.81653,0.6669,0.70618,0.69988,1.10809,0.00285497,0.00285497,0.00285497
72,14051.7,0.91664,1.11174,1.31092,0.7685,0.76911,0.81734,0.66686,0.7057,0.69939,1.10785,0.00274192,0.00274192,0.00274192
73,14243.4,0.91379,1.10039,1.3074,0.7683,0.76829,0.81759,0.66803,0.70552,0.69938,1.10765,0.00263159,0.00263159,0.00263159
